Games with Regional Prices in CAD,USD,CAD,UAH,TRY,ARS,BRL,AUD,JPY,KRW,CNY,PLN,MXN,INR,SAR,ZAR,PHP,VND,IDR,KZT,MYR,CLP,TWD,Lowest Regional Price
PEAK,10.963079,10.49,5.220705845190747,5.474679000000001,5.474679000000001,5.927622229025229,10.5360550996483,8.120196184318571,8.287660254854591,6.306660538191543,9.389298447383554,6.591711412083131,5.713058465078571,7.314207733333334,6.202142566559689,5.984964579260474,5.207908148286635,5.886089460694326,5.661346943781881,7.106262276549143,5.976828719875345,7.43604522354433,VND
RimWorld,38.405079,31.99,12.312985483940443,19.744519000000004,19.744519000000004,20.159845671786933,32.13541487560245,28.789786471674933,29.59878662448068,19.56975876093376,40.57424327062625,22.85307304651424,19.096574256530047,21.06082026666667,19.536749084663022,20.19024195413172,18.7274272807075,19.17202404246983,18.11631022010202,21.716272168444856,20.491984182429757,19.782686349429255,UAH
Clair Obscur Expedition 33,61.730779000000005,58.49,43.73572443895645,43.207429,43.207429,44.05070825304785,56.25484889930963,62.11950081003707,48.660405210646246,37.49596356342972,60.52885073523372,46.806351731538186,42.25117054257273,55.652376,43.88791133661801,38.93832376868261,36.45535703800645,37.76400772579353,39.53421504423683,40.42716738500671,43.417391486523044,41.57637863981704,VND
Ready or Not,68.59127900000001,59.989999999999995,20.52164247323407,39.777179000000004,45.265579,32.613041184203425,65.6827862446268,65.9765939975884,52.29118970324921,30.386637138559255,63.869021331361765,30.39775884987642,31.748054701481205,65.84250533333334,37.91059643809611,24.036002326347287,20.98944799157947,21.526493462024984,19.814714303236585,32.315881203042935,33.86869607929363,39.56537269885851,KZT
HELLDIVERS 2,54.870279000000004,49.99,39.36871892065224,54.870279000000004,54.870279000000004,49.293898903315274,53.573918848508534,41.33918057471272,44.20085469255782,37.83996322914926,63.49705632684357,51.20131433543848,39.768615889223824,64.03133333333334,55.74175631695521,47.8316446294311,NA,48.68706406865833,43.10086361881942,54.61383923314257,39.84552479916896,55.65342022652674,CNY
Dead by Daylight,27.428279,25.99,14.086055393627865,20.567779,20.567779,14.817820136500336,25.870974990230557,18.270441414716785,21.21246374754449,17.916649256225973,27.04824310632821,21.963825612991744,18.444107969431936,21.935305333333336,16.97836527595715,12.979441256227535,17.88574515573188,18.490152880927944,15.89551821442758,14.542146541369323,17.06811515861545,17.724912828448435,PHP
ELDEN RING NIGHTREIGN,54.870279000000004,53.49,39.36871892065224,35.660879,43.893479,48.898559363238554,49.10570209717337,52.78127519807071,49.13398579663793,37.83996322914926,63.49705632684357,48.271339266171616,39.768615889223824,47.84055333333334,58.06755977941509,43.24076818509877,36.29754163957352,33.551189228660924,50.94954915451702,38.455898631621096,45.53631957316457,55.65342022652674,IDR
Dune Awakening,68.59127900000001,64.99,37.726987522793515,41.149279,41.149279,44.22861104608238,66.97856910251402,46.045203363351895,49.232648418719535,30.577748063959,78.52594539828583,58.526252008605645,44.54275945335633,65.49490666666668,54.19122067531529,43.24076818509877,41.55805492067113,48.68706406865833,40.9160983664236,54.61383923314257,49.80690599896121,56.074328446727364,CNY
Red Dead Redemption 2,20.567779,19.99,21.30967354420626,20.567779,20.567779,18.524128324719527,20.089102514002867,19.876025660252502,18.005928529892415,13.329987046632127,23.471367507324956,21.956500675318576,19.87635103867169,20.947393333333334,22.269568153053385,20.424592976813607,17.85944258932639,18.47838053383017,19.29747305973651,20.11663604889423,19.206966007656558,20.905108269964245,CNY
Baldurs Gate 3,82.312279,79.99,29.51833053349989,48.00977900000001,48.00977900000001,49.414971637463765,80.38321935651948,78.4244856483222,65.1173305738575,56.951055769123634,93.55483446972809,95.15094037444148,47.72552182944467,83.78957333333334,61.9438988835149,62.46957004617659,52.07908148286636,58.86165140068526,36.02675327861197,70.77177983466404,56.920755230069986,74.78136045564392,UAH
DELTARUNE,34.288779,32.99,16.384479350630084,17.137529,17.137529,18.28198285642254,33.0558675263775,36.72543274271354,29.40146138031748,18.728870689174887,31.184944823242695,20.87607236852642,17.489279256605435,21.949941066666668,18.21879378926909,18.387541779655674,16.886247632323332,17.406171977803464,17.24137478333573,19.712687533856194,18.499707942471307,25.675401432237965,UAH
Satisfactory,38.405079,36.39,17.0083372818164,18.235209,18.235209,18.677322396499257,36.59469519343494,29.066611341594886,29.00681089199107,18.193760098055606,48.65227114652647,21.021838628222447,17.82346930609471,19.4508896,17.908686660941104,18.50772179128741,17.307088694811142,17.658436558470086,16.752440274554566,19.90658282107445,18.92662427960526,19.59561602934009,KZT
Cyberpunk 2077,82.312279,79.99,45.93564451208714,61.730779000000005,61.730779000000005,49.392733788334446,80.38321935651948,80.99895693857773,65.1173305738575,56.951055769123634,74.76872313042527,95.15094037444148,47.72552182944467,83.78957333333334,61.9438988835149,62.46957004617659,52.07908148286636,58.86165140068526,46.31753801869549,70.77177983466404,56.920755230069986,74.78136045564392,UAH
Rust,54.870279000000004,51.99,22.951404942064983,26.056179,26.056179,29.647994633628066,53.573918848508534,42.44648005439253,41.43830127427296,26.37330770516464,45.08290999205893,32.88897015252057,27.0534801967509,32.92674106666667,26.281579125796686,20.19024195413172,24.72441242115877,26.067340002217758,27.020064958958976,28.761134270708215,30.59567082793331,35.02891743669625,PHP
REPO,13.707279000000002,12.99,7.387791290364265,7.944459000000001,7.944459000000001,8.151407141956746,12.957828578871956,11.072994796798051,10.852888428976252,8.026658866789237,17.279465209890745,9.082190220959967,7.638629702612018,8.228941066666666,7.752678208199613,8.052060779326341,7.469928859158609,7.651941525360691,7.462684607712479,8.644498221813986,8.18256312840077,8.79230504419078,UAH
